Fecha,Producto,Marca,Precio,Unidad,Categoria
2026-03-08,Lomitos de atún Carrefour al natural 170 g.,Carrefour,2934.8,1.0 un,Almacen
2026-03-08,Puré de tomate Arcor brik 520 g.,Arcor,719.0,1.0 un,Almacen
2026-03-08,Fideos tallarin N5 Lucchetti 500 g.,Matarazzo,1499.0,1.0 un,Almacen
2026-03-08,Fideos tirabuzon N28 Lucchetti 500 g.,Luchetti,1499.0,1.0 un,Almacen
2026-03-08,Mayonesa Clásica Hellmanns sin tacc doypack 475 g.,Hellmanns,2099.25,1.0 un,Almacen
2026-03-08,Lomitos de atún Carrefour en aceite 170 g.,Carrefour,2934.8,1.0 un,Almacen
2026-03-08,Arroz largo fino Molinos Ala 1 kg.,Molinos Ala,1790.0,1.0 un,Almacen
2026-03-08,Aceite de girasol Natura 1.5 l.,Natura,6329.0,1.0 un,Almacen
2026-03-08,Caldo Knorr de verdura deshidratado 12 cubos,Knorr,2670.0,1.0 un,Almacen
2026-03-08,Arroz largo fino 00000 Carrefour Classic en bolsa 1 kg.,Carrefour,1370.8,1.0 un,Almacen
2026-03-08,Choclo en granos amarillo Carrefour classic en lata 300 g.,Carrefour,1106.7,1.0 un,Almacen
2026-03-08,Arvejas secas remojadas Carrefour classic en lata 300 g.,Carrefour,533.11,1.0 un,Almacen
2026-03-08,Fideos tallarines Don Vicente en bolsa 500 g.,Don Vicente,3399.0,1.0 un,Almacen
2026-03-08,Fideos spaghetti N7 Lucchetti 500 g.,Lucchetti,1439.0,1.0 un,Almacen
2026-03-08,Fideos mostacholes N52 Lucchetti rayado 500 g.,Lucchetti,1499.0,1.0 un,Almacen
2026-03-08,Arroz parboil Gallo oro en bolsa 1 kg.,Gallo,2500.0,1.0 un,Almacen
2026-03-08,Mayonesa Hellmanns liviana doypack 475 g.,Hellmanns,2100.0,1.0 un,Almacen
2026-03-08,Mostaza Savora oiginal doypack 500 g.,Savora,2765.0,1.0 un,Almacen
2026-03-08,Aceite de girasol Carrefour Classic  alto omega pet 900 cc.,Carrefour,3186.6,1.0 un,Almacen
2026-03-08,Caldo de verdura Maggi 12 uni,Maggi,1699.0,1.0 un,Almacen
2026-03-08,Aceite de girasol alto omega Carrefour Classic pet 1.5 lts,Carrefour,5066.6,1.0 un,Almacen
