Fecha,Producto,Marca,Precio_Actual,Precio_Lista,Unidad_Ref,Link
2026-03-08,Lomitos de atún Carrefour al natural 170 g.,Carrefour,2934.8,3190.0,GRM,https://www.carrefour.com.ar/lomitos-de-atun-carrefour-al-natural-170-g/p
2026-03-08,Puré de tomate Arcor brik 520 g.,Arcor,719.0,1029.0,GRM,https://www.carrefour.com.ar/pure-de-tomate-arcor-brik-520-g-739689/p
2026-03-08,Fideos tallarin N5 Lucchetti 500 g.,Matarazzo,1499.0,1499.0,GRM,https://www.carrefour.com.ar/fideos-tallarin-n5-lucchetti-500-g-726311/p
2026-03-08,Fideos tirabuzon N28 Lucchetti 500 g.,Luchetti,1499.0,1499.0,GRM,https://www.carrefour.com.ar/fideos-tirabuzon-n28-lucchetti-500-g-726310/p
2026-03-08,Mayonesa Clásica Hellmanns sin tacc doypack 475 g.,Hellmanns,2099.25,2799.0,GRM,https://www.carrefour.com.ar/mayonesa-clasica-hellmanns-sin-tacc-doypack-475-g-694755/p
2026-03-08,Lomitos de atún Carrefour en aceite 170 g.,Carrefour,2934.8,3190.0,GRM,https://www.carrefour.com.ar/lomitos-de-atun-carrefour-en-aceite-170-g/p
2026-03-08,Arroz largo fino Molinos Ala 1 kg.,Molinos Ala,1790.0,1790.0,GRM,https://www.carrefour.com.ar/arroz-largo-fino-molinos-ala-1-kg/p
2026-03-08,Aceite de girasol Natura 1.5 l.,Natura,6329.0,6329.0,CM3,https://www.carrefour.com.ar/aceite-de-girasol-natura-15-l/p
2026-03-08,Caldo Knorr de verdura deshidratado 12 cubos,Knorr,2670.0,2670.0,GRM,https://www.carrefour.com.ar/caldo-knorr-de-verdura-deshidratado-12-cubos-737145/p
2026-03-08,Arroz largo fino 00000 Carrefour Classic en bolsa 1 kg.,Carrefour,1370.8,1490.0,GRM,https://www.carrefour.com.ar/arroz-largo-fino-00000-carrefour-classic-en-bolsa-1-kg-734800/p
2026-03-08,Choclo en granos amarillo Carrefour classic en lata 300 g.,Carrefour,1106.7,1390.0,GRM,https://www.carrefour.com.ar/choclo-en-granos-amarillo-carrefour-classic-en-lata-300-g-731396/p
2026-03-08,Arvejas secas remojadas Carrefour classic en lata 300 g.,Carrefour,533.11,599.0,GRM,https://www.carrefour.com.ar/arvejas-secas-remojadas-carrefour-classic-en-lata-300-g-731395/p
2026-03-08,Fideos tallarines Don Vicente en bolsa 500 g.,Don Vicente,3399.0,3399.0,GRM,https://www.carrefour.com.ar/fideos-tallarines-don-vicente-en-bolsa-500-g-729408/p
2026-03-08,Fideos spaghetti N7 Lucchetti 500 g.,Lucchetti,1439.0,1439.0,GRM,https://www.carrefour.com.ar/fideos-spaghetti-n7-lucchetti-500-g-729396/p
2026-03-08,Fideos mostacholes N52 Lucchetti rayado 500 g.,Lucchetti,1499.0,1499.0,GRM,https://www.carrefour.com.ar/fideos-mostacholes-n52-lucchetti-rayado-500-g-726309/p
2026-03-08,Arroz parboil Gallo oro en bolsa 1 kg.,Gallo,2500.0,2500.0,GRM,https://www.carrefour.com.ar/arroz-parboil-gallo-oro-en-bolsa-1-kg-718787/p
2026-03-08,Mayonesa Hellmanns liviana doypack 475 g.,Hellmanns,2100.0,2800.0,GRM,https://www.carrefour.com.ar/mayonesa-hellmanns-liviana-doypack-475-g-714807/p
2026-03-08,Mostaza Savora oiginal doypack 500 g.,Savora,2765.0,2765.0,GRM,https://www.carrefour.com.ar/mostaza-savora-original-doypack-500-g-709754/p
2026-03-08,Aceite de girasol Carrefour Classic  alto omega pet 900 cc.,Carrefour,3186.6,3390.0,CM3,https://www.carrefour.com.ar/aceite-de-girasol-carrefour-classic-alto-omega-pet-900-cc-699030-699030/p
2026-03-08,Caldo de verdura Maggi 12 uni,Maggi,1699.0,1699.0,GRM,https://www.carrefour.com.ar/caldo-de-verdura-maggi-12-uni-687516/p
2026-03-08,Aceite de girasol alto omega Carrefour Classic pet 1.5 lts,Carrefour,5066.6,5390.0,CM3,https://www.carrefour.com.ar/aceite-de-girasol-alto-omega-carrefour-classic-pet-1-5-lts-680457/p
2026-03-08,Harina de trigo Morixe 0000 1 kg.,Morixe,1250.0,1250.0,GRM,https://www.carrefour.com.ar/harina-de-trigo-morixe-0000-1-kg/p
2026-03-08,Atún desmenuzado Bulnez al natural 170 g.,Bulnez,1190.0,1190.0,GRM,https://www.carrefour.com.ar/atun-desmenuzado-bulnez-al-natural-170-g/p
2026-03-08,Fideos coditos Lucchetti 500 g.,Lucchetti,1499.0,1499.0,GRM,https://www.carrefour.com.ar/fideos-coditos-lucchetti-500-g/p
2026-03-08,Aceite de oliva Oliovita extra virgen 500 cc.,Oliovita,13259.0,13259.0,CM3,https://www.carrefour.com.ar/aceite-de-oliva-oliovita-extra-virgen-500-cc/p
2026-03-08,Vinagre de alcohol Menoyo 1 l.,Menoyo,1229.25,1639.0,CM3,https://www.carrefour.com.ar/vinagre-de-alcohol-menoyo-1-l/p
2026-03-08,Mayonesa Natura 475 g.,Natura,2520.0,2520.0,CM3,https://www.carrefour.com.ar/mayonesa-natura-475-g/p
2026-03-08,Sal fina Celusal paquete 500 g.,Celusal,1409.0,1409.0,GRM,https://www.carrefour.com.ar/sal-fina-celusal-paquete-500-g/p
2026-03-08,Harina de Trigo 000 Caserita x 1 kg,Caserita,719.0,899.0,GRM,https://www.carrefour.com.ar/harina-de-trigo-000-caserita-x-1-kg-7757/p
2026-03-08,Harina leudante Chacabuco 1 kg,Chacabuco,1345.0,1345.0,GRM,https://www.carrefour.com.ar/harina-leudante-chacabuco-1-kg-762257/p
2026-03-08,Aceitunas verdes descarozadas Nucete dp 220 grs,Nucete,1860.0,1860.0,GRM,https://www.carrefour.com.ar/aceitunas-verdes-descarozadas-nucete-dp-220-grs-761747/p
2026-03-08,Lentejas secas Bulnez 400 grs,Bulnez,1390.0,1390.0,GRM,https://www.carrefour.com.ar/lentejas-secas-bulnez-400-grs-760491/p
2026-03-08,Fideo tirabuzones Bulnez en paquete 500 g.,Bulnez,839.0,839.0,GRM,https://www.carrefour.com.ar/fideo-tirabuzones-bulnez-en-paquete-500-g-746349/p
2026-03-08,Fideo spaghetti Bulnez en paquete 500 g.,Bulnez,839.0,839.0,GRM,https://www.carrefour.com.ar/fideo-spaghetti-bulnez-en-paquete-500-g-746348/p
2026-03-08,Harina leudante Bulnez 1 kg,Bulnez,991.9,1090.0,GRM,https://www.carrefour.com.ar/harina-leudante-bulnez-1-kg-745304/p
2026-03-08,Atún en trozos en aceite Bulnez en lata 170 g.,Bulnez,2590.0,2590.0,GRM,https://www.carrefour.com.ar/atun-en-trozos-en-aceite-bulnez-en-lata-170-g-743947/p
2026-03-08,Avena instantanea Carrefour Classic pouch 300 g.,Carrefour,1478.7,1590.0,GRM,https://www.carrefour.com.ar/avena-instantanea-carrefour-classic-pouch-300-g-738864/p
2026-03-08,Orégano El Mercado 50 g.,El Mercado,929.0,929.0,GRM,https://www.carrefour.com.ar/oreganol-el-mercado-50-g-738820/p
2026-03-08,Provenzal El Mercado 50 g.,El Mercado,929.0,929.0,GRM,https://www.carrefour.com.ar/provenzal-el-mercado-50-g-738816/p
2026-03-08,Lentejas Carrefour Classic 400 g.,Carrefour,1462.8,1590.0,GRM,https://www.carrefour.com.ar/lentejas-carrefour-classic-400-g-738618/p
2026-03-08,Tomate perita entero Carrefour classic en lata 400 cc.,Carrefour,1118.6,1190.0,GRM,https://www.carrefour.com.ar/tomate-perita-entero-carrefour-classic-en-lata-400-cc-738118/p
2026-03-08,Puré de tomate La Campagnola tetra 530 g.,La Campagnola,1135.0,1135.0,GRM,https://www.carrefour.com.ar/pure-de-tomate-la-campagnola-tetra-530-g-737921/p
2026-03-08,Sal fina Bulnez en bolsa 500 g.,Bulnez,739.0,739.0,GRM,https://www.carrefour.com.ar/sal-fina-bulnez-en-bolsa-500-g-737473/p
2026-03-08,Harina leudante Blancaflor 1 kg.,Blancaflor,1949.0,1949.0,GRM,https://www.carrefour.com.ar/harina-leudante-blancaflor-1-kg-732163/p
2026-03-08,Lentejas secas remojadas Carrefour classic en lata 300 g.,Carrefour,836.07,999.0,GRM,https://www.carrefour.com.ar/lentejas-secas-remojadas-carrefour-classic-en-lata-300-g-731390/p
2026-03-08,Pan rallado Preferido fortificado 1 kg.,Preferido,3425.0,3425.0,GRM,https://www.carrefour.com.ar/pan-rallado-preferido-fortificado-1-kg-731021/p
2026-03-08,Puré de Papas Maggi original 125 grs,Maggi,2599.0,2599.0,GRM,https://www.carrefour.com.ar/pure-de-papas-maggi-original-125-grs-729423/p
2026-03-08,Fideos cinta caserito Don vicente en bolsa 500 g.,Don Vicente,3399.0,3399.0,GRM,https://www.carrefour.com.ar/fideos-cinta-caserito-don-vicente-en-bolsa-500-g-729409/p
2026-03-08,Fideos tirabuzones N28 Matarazzo 500 g.,Matarazzo,1849.0,1849.0,GRM,https://www.carrefour.com.ar/fideos-tirabuzones-n28-matarazzo-500-g-729402/p
2026-03-08,Fideos tallarines N5 Matarazzo 500 g.,Matarazzo,1849.0,1849.0,GRM,https://www.carrefour.com.ar/fideos-tallarines-n5-matarazzo-500-g-729400/p
