Date,Product,Brand,Price_W2,Unit
2026-03-22,Lomitos de atún Carrefour al natural 170 g.,Carrefour,2934.8,1.0 un
2026-03-22,Puré de tomate Arcor brik 520 g.,Arcor,1029.0,1.0 un
2026-03-22,Choclo en granos amarillo Carrefour classic en lata 300 g.,Carrefour,1060.2,1.0 un
2026-03-22,Fideos tallarin N5 Lucchetti 500 g.,Matarazzo,1499.0,1.0 un
2026-03-22,Mayonesa Hellmanns liviana doypack 475 g.,Hellmanns,2100.0,1.0 un
2026-03-22,Mayonesa Clásica Hellmanns sin tacc doypack 475 g.,Hellmanns,2046.75,1.0 un
2026-03-22,Lomitos de atún Carrefour en aceite 170 g.,Carrefour,2934.8,1.0 un
2026-03-22,Aceite de girasol Natura 1.5 l.,Natura,6319.0,1.0 un
2026-03-22,Harina leudante Bulnez 1 kg,Bulnez,991.9,1.0 un
2026-03-22,Puré de tomate La Campagnola tetra 530 g.,La Campagnola,1135.0,1.0 un
2026-03-22,Sal fina Bulnez en bolsa 500 g.,Bulnez,739.0,1.0 un
2026-03-22,Caldo Knorr de verdura deshidratado 12 cubos,Knorr,2670.0,1.0 un
2026-03-22,Arroz largo fino 00000 Carrefour Classic en bolsa 1 kg.,Carrefour,1370.8,1.0 un
2026-03-22,Harina leudante Blancaflor 1 kg.,Blancaflor,1461.75,1.0 un
2026-03-22,Arvejas secas remojadas Carrefour classic en lata 300 g.,Carrefour,533.11,1.0 un
2026-03-22,Fideos tallarines Don Vicente en bolsa 500 g.,Don Vicente,3399.0,1.0 un
2026-03-22,Fideos tirabuzones N28 Matarazzo 500 g.,Matarazzo,1849.0,1.0 un
2026-03-22,Fideos spaghetti N3 Matarazzo 500 g.,Matarazzo,1849.0,1.0 un
2026-03-22,Fideos spaghetti N7 Lucchetti 500 g.,Lucchetti,1439.0,1.0 un
2026-03-22,Fideos tirabuzon N28 Lucchetti 500 g.,Luchetti,1499.0,1.0 un
2026-03-22,Fideos mostacholes N52 Lucchetti rayado 500 g.,Lucchetti,1499.0,1.0 un
2026-03-22,Fideos mostacholes N52 Matarazzo rayado 500 g.,Matarazzo,1849.0,1.0 un
2026-03-22,Arroz parboil Gallo oro en bolsa 1 kg.,Gallo,2500.0,1.0 un
2026-03-22,Mostaza Savora oiginal doypack 500 g.,Savora,2073.75,1.0 un
2026-03-22,Aceite de girasol Carrefour Classic  alto omega pet 900 cc.,Carrefour,3186.6,1.0 un
2026-03-22,Caldo de verdura Maggi 12 uni,Maggi,1210.3,1.0 un
2026-03-22,Harina de trigo Morixe 0000 1 kg.,Morixe,1299.0,1.0 un
2026-03-22,Harina de trigo Morixe 000 1 kg.,Morixe,979.0,1.0 un
2026-03-22,Atún desmenuzado Bulnez al natural 170 g.,Bulnez,1190.0,1.0 un
2026-03-22,Fideos coditos Lucchetti 500 g.,Lucchetti,1499.0,1.0 un
2026-03-22,Harina de trigo Pureza 0000 1 kg.,Pureza,1335.0,1.0 un
2026-03-22,Aceite de girasol Cocinero 900 cc.,Cocinero,3705.0,1.0 un
2026-03-22,Vinagre de alcohol Menoyo 1 l.,Menoyo,1639.0,1.0 un
2026-03-22,Mayonesa Natura 475 g.,Natura,2659.0,1.0 un
2026-03-22,Arroz largo fino Molinos Ala 1 kg.,Molinos Ala,1790.0,1.0 un
2026-03-22,Sal fina Celusal paquete 500 g.,Celusal,1409.0,1.0 un
2026-03-22,Harina de Trigo 000 Caserita x 1 kg,Caserita,899.0,1.0 un
2026-03-22,Harina leudante Chacabuco 1 kg,Chacabuco,1345.0,1.0 un
2026-03-22,Aceitunas verdes descarozadas Nucete dp 220 grs,Nucete,1949.0,1.0 un
2026-03-22,Lentejas secas Bulnez 400 grs,Bulnez,1390.0,1.0 un
2026-03-22,Fideo tirabuzones Bulnez en paquete 500 g.,Bulnez,839.0,1.0 un
2026-03-22,Fideo spaghetti Bulnez en paquete 500 g.,Bulnez,839.0,1.0 un
2026-03-22,Atún en trozos en aceite Bulnez en lata 170 g.,Bulnez,2590.0,1.0 un
2026-03-22,Avena instantanea Carrefour Classic pouch 300 g.,Carrefour,1478.7,1.0 un
2026-03-22,Orégano El Mercado 50 g.,El Mercado,929.0,1.0 un
2026-03-22,Provenzal El Mercado 50 g.,El Mercado,829.0,1.0 un
2026-03-22,Lentejas Carrefour Classic 400 g.,Carrefour,1462.8,1.0 un
2026-03-22,Tomate perita entero Carrefour classic en lata 400 cc.,Carrefour,1118.6,1.0 un
2026-03-22,Sal gruesa Bulnez en bolsa 1 kg.,Bulnez,1490.0,1.0 un
2026-03-22,Garbanzos secos remojados Carrefour classic en lata 300 g.,Carrefour,591.26,1.0 un
2026-03-22,Lentejas secas remojadas Carrefour classic en lata 300 g.,Carrefour,836.07,1.0 un
2026-03-22,Bizcochuelo fortificado Exquisita de vainilla 540 g.,Exquisita,3499.0,1.0 un
2026-03-22,Pan rallado Preferido fortificado 1 kg.,Preferido,3425.0,1.0 un
2026-03-22,Puré de Papas Maggi original 125 grs,Maggi,1890.0,1.0 un
2026-03-22,Fideos cinta caserito Don vicente en bolsa 500 g.,Don Vicente,3399.0,1.0 un
2026-03-22,Fideos tallarines N5 Matarazzo 500 g.,Matarazzo,1849.0,1.0 un
2026-03-22,Avena instantanea Morixe 400 g.,Morixe,2195.0,1.0 un
2026-03-22,Fideos guiseros tirabuzon Lucchetti 3 vegetales 500 g.,Luchetti,1919.0,1.0 un
2026-03-22,Fideos integrales tirabuzon Matarazzo 500 g.,Matarazzo,2149.0,1.0 un
2026-03-22,Fideos tirabuzon Matarazzo 3 vegetales 500 g.,Matarazzo,2149.0,1.0 un
2026-03-22,Fideos tirabuzón Terrabusi 3 vegetales 500 g.,Terrabusi,1349.0,1.0 un
2026-03-22,Arroz parboil Lucchetti 1 kg.,Lucchetti,2099.0,1.0 un
2026-03-22,Mayonesa  d´ Fiesta 500 cc.,Fiesta,1700.0,1.0 un
2026-03-22,Puré de tomate Bulnez tetra 520 g.,Bulnez,799.0,1.0 un
2026-03-22,Palitos salados Carrefour classic 115 g.,Carrefour,1161.0,1.0 un
2026-03-22,Papas fritas Carrefour classic corte tradicional 150 g.,Carrefour,1771.1,1.0 un
2026-03-22,Harina Morixe para pizza 1 kg.,Morixe,1859.0,1.0 un
2026-03-22,Ketchup Hellmanns regular doypack 500 g.,Hellmanns,3995.0,1.0 un
2026-03-22,Mostaza Savora original doypack 250 g.,Savora,1173.75,1.0 un
2026-03-22,Aceite de girasol Legitimo 900 cc.,Legitimo,3569.0,1.0 un
2026-03-22,Ketchup Hellmanns regular doypack 250 g.,Hellmanns,2270.0,1.0 un
2026-03-22,Atún al natural La Campagnola lomitos 170 g.,La Campagnola,5535.0,1.0 un
2026-03-22,Choclo en granos Arcor amarillo lata 300 g.,Arcor,1720.0,1.0 un
2026-03-22,Polenta instantánea Presto Pronta bolsa 730 g.,Presto Pronta,2189.0,1.0 un
2026-03-22,Garbanzos Inalpa secos remojados lata 300 g.,Inalpa,696.75,1.0 un
2026-03-22,Arvejas secas remojadas Inalpa lata 300 g.,Inalpa,494.25,1.0 un
2026-03-22,Esencia de vainilla Alicante pet 100 cc.,Alicante,1919.0,1.0 un
2026-03-22,Fideos cinta tallarin Carrefour classic 500 g.,Carrefour,909.09,1.0 un
2026-03-22,Fideos tirabuzones Carrefour classic 500 g.,Carrefour,909.09,1.0 un
2026-03-22,Fideos guiseros moño Carrefour classic 500 g.,Carrefour,1292.7,1.0 un
2026-03-22,Harina 0000 Chacabuco 1 kg.,Chacabuco,1199.0,1.0 un
2026-03-22,Tomate triturado Don Francisco botella 950 g.,Don Francisco,2600.0,1.0 un
2026-03-22,Aceite de girasol Pureza 900 cc.,Pureza,4050.0,1.0 un
2026-03-22,Tomate triturado Carrefour 970 cc.,Carrefour,2036.7,1.0 un
2026-03-22,Vinagre de alcohol Casalta 1 l.,Casalta,1173.75,1.0 un
2026-03-22,Harina integral Pureza 1 kg.,Pureza,1799.0,1.0 un
2026-03-22,Mostaza Natura 250 g.,Natura,950.0,1.0 un
2026-03-22,Sal fina Dos Anclas en paquete 500 grs,Dos Anclas,1429.0,1.0 un
2026-03-22,Fideos tirabuzones Favorita fortificado 500 g.,Favorita,965.0,1.0 un
2026-03-22,Sal fina Dos Estrellas 500 g.,Dos Estrellas,989.0,1.0 un
2026-03-22,Duraznos amarillos en mitades Carrefour 820 g.,Carrefour,2447.9,1.0 un
2026-03-22,Fideos coditos rayados Matarazzo 500 g.,Matarazzo,1849.0,1.0 un
2026-03-22,Aceite en aerosol Natura 120 cc.,Natura,3101.25,1.0 un
2026-03-22,Mostaza Natura 500 g.,Natura,1885.0,1.0 un
2026-03-22,Ketchup Natura 250 cc.,Natura,1489.0,1.0 un
2026-03-22,Pan rallado Carrefour classic 1 kg.,Carrefour,2198.4,1.0 un
2026-03-22,Aceite de oliva Oliovita extra virgen 500 cc.,Oliovita,13259.0,1.0 un
2026-03-22,Pimentón 50 g.,Genérico,999.0,1.0 un
2026-03-22,Puré de tomate Salsati 520 g.,BC,945.0,1.0 un
2026-03-22,Tomate perita cubeteado Arcor 400 g.,Arcor,1575.0,1.0 un
2026-03-22,Aceite de girasol Natura 900 cc.,Natura,3999.0,1.0 un
2026-03-22,Aceite en aerosol Carrefour classic girasol 150 cc.,Carrefour,3903.9,1.0 un
2026-03-22,Sal gruesa Dos Anclas caja 500 g.,Dos Anclas,1349.0,1.0 un
2026-03-22,Arroz Molinos Ala parboil bolsa 1 kg.,Molinos Ala,2100.0,1.0 un
2026-03-22,Arroz Molinos Ala doble carolina bolsa 1 kg.,Molinos Ala,3250.0,1.0 un
2026-03-22,Vinagre de alcohol Carrefour classic 1 l.,Carrefour,1431.0,1.0 un
2026-03-22,Vinagre de alcohol Alcazar 1 l.,Alcazar,1230.0,1.0 un
2026-03-22,Fideos moños Matarazzo 500 g.,Matarazzo,2409.0,1.0 un
2026-03-22,Mayonesa Natura 950 g.,Natura,5569.0,1.0 un
2026-03-22,Pate de foie Swift lata 90 g.,Swift,1265.0,1.0 un
2026-03-22,Aceite de girasol Cocinero 1.5 l.,Cocinero,5865.0,1.0 un
2026-03-22,Paté de foie Bulnez en lata 90 grs,Bulnez,849.0,1.0 un
2026-03-22,Puré de tomate Carrefour Classic tetra 520 grs,Carrefour,836.07,1.0 un
2026-03-22,Arroz largo fino Bulnez 1 kg,Bulnez,1190.0,1.0 un
2026-03-22,Arroz blanco Shangrila 1 kg,Shangrila,1050.0,1.0 un
2026-03-22,Maíz pisingallo Bulnez 400 grs,Bulnez,719.0,1.0 un
2026-03-22,Tomate triturado Corper sin gluten 910 grs,Corper,2289.0,1.0 un
2026-03-22,Aceite de girasol Carrefour Classic pet 900 ml,Carrefour,3186.6,1.0 un
2026-03-22,Aceite de oliva extra virgen Carrefour Extra  en botella 500 ml,Carrefour,11030.8,1.0 un
2026-03-22,Papas fritas Bulnez sabor original en tubo 100 grs,Bulnez,2190.0,1.0 un
2026-03-22,Papas fritas Bulnez sabor queso y cebolla en tubo 100 grs,Bulnez,2190.0,1.0 un
2026-03-22,Papas fritas Carrefour Classic en bolsa 250 grs,Carrefour,3026.8,1.0 un
2026-03-22,Tomate perita Salsati pelado 400 grs,Salsati,1639.0,1.0 un
2026-03-22,Lentejas secas Carrefour Classic remojadas 340 grs,Carrefour,789.57,1.0 un
2026-03-22,Puré Chef 100 grs,Chef,1287.3,1.0 un
2026-03-22,Aceituna verde Carrefour Classic en rodajas doypack 150 grs,Carrefour,1810.9,1.0 un
2026-03-22,Fideos codos Bulnez en paquete 500 g.,Bulnez,839.0,1.0 un
2026-03-22,Fideos mostachol Bulnez en paquete 500 g.,Bulnez,839.0,1.0 un
2026-03-22,Jugo de limón Bulnez en botella 1000 cc.,Bulnez,2890.0,1.0 un
2026-03-22,Jugo de limón Bulnez en botella 500 cc.,Bulnez,1790.0,1.0 un
2026-03-22,Aceitunas descarozadas Morixe dp 300 g.,Morixe,2250.0,1.0 un
2026-03-22,Salsa pizza Knorr 340 g.,Knorr,1124.25,1.0 un
2026-03-22,Salsa pizza Knorr 200 g.,Knorr,756.75,1.0 un
2026-03-22,Garbanzo Carrefour Classic 400 g.,Carrefour,1400.6,1.0 un
2026-03-22,Caldo Knorr de gallina deshidratado 12 cubos.,Knorr,2725.0,1.0 un
2026-03-22,Fideos tallarin Don bernabeu 500 g.,Don Bernabeu,849.0,1.0 un
2026-03-22,Brownies de chocolate Exquisita 425 g.,Exquisita,4699.0,1.0 un
2026-03-22,Gelatina light Exquista de frutilla 25 g.,Exquisita,1200.0,1.0 un
2026-03-22,Arroz integral Gallo en bolsa 500 g.,Gallo,1579.0,1.0 un
2026-03-22,Choclo cremoso amarillo Carrefour classic en lata 300 g.,Carrefour,727.09,1.0 un
2026-03-22,Gelatina fortificada Exquisita de frambuesa 40 g.,Exquisita,1200.0,1.0 un
2026-03-22,Puré de papas Maggi original 200 grs,Maggi,2733.5,1.0 un
2026-03-22,Fideos cinta fetuccini Don vicente 500 g.,Don Vicente,3399.0,1.0 un
2026-03-22,Fideos penne rigate N45 Lucchetti 500 g.,Lucchetti,1499.0,1.0 un
2026-03-22,Papas fritas Krachitos corte americano 420 g.,Krachitos,5729.0,1.0 un
2026-03-22,Fideos sin tacc spaghetti Matarazzo 500 g.,Matarazzo,4249.0,1.0 un
2026-03-22,Fideos integrales spaghetti Matarazzo 500 g.,Matarazzo,2149.0,1.0 un
2026-03-22,Fideos penne rigante Matarazzo 500 g.,Matarazzo,1849.0,1.0 un
2026-03-22,Arroz parboil Lucchetti 500 g.,Lucchetti,1109.0,1.0 un
2026-03-22,Arroz doble Gallo 500 g.,Gallo,2200.0,1.0 un
2026-03-22,Salsa BBQ Dánica dp 220 g.,Dánica,1139.25,1.0 un
