Date,Product,Brand,Price,List_Price,Unit
2026-03-29,lomitos de atún carrefour al natural 170 g.,carrefour,2750.8,2990.0,1.0 un
2026-03-29,puré de tomate arcor brik 520 g.,arcor,1029.0,1029.0,1.0 un
2026-03-29,choclo en granos amarillo carrefour classic en lata 300 g.,carrefour,1106.7,1190.0,1.0 un
2026-03-29,fideos tallarin n5 lucchetti 500 g.,matarazzo,1499.0,1499.0,1.0 un
2026-03-29,fideos tirabuzon n28 lucchetti 500 g.,luchetti,1499.0,1499.0,1.0 un
2026-03-29,mayonesa hellmanns liviana doypack 475 g.,hellmanns,2239.0,2800.0,1.0 un
2026-03-29,aceite de girasol carrefour classic  alto omega pet 900 cc.,carrefour,2998.6,3190.0,1.0 un
2026-03-29,mayonesa clásica hellmanns sin tacc doypack 475 g.,hellmanns,2729.0,2729.0,1.0 un
2026-03-29,aceite de girasol alto omega carrefour classic pet 1.5 lts,carrefour,4784.6,5090.0,1.0 un
2026-03-29,lomitos de atún carrefour en aceite 170 g.,carrefour,2750.8,2990.0,1.0 un
2026-03-29,aceite de girasol natura 1.5 l.,natura,6319.0,6319.0,1.0 un
2026-03-29,harina leudante bulnez 1 kg,bulnez,991.9,1090.0,1.0 un
2026-03-29,puré de tomate la campagnola tetra 530 g.,la campagnola,1135.0,1135.0,1.0 un
2026-03-29,sal fina bulnez en bolsa 500 g.,bulnez,739.0,739.0,1.0 un
2026-03-29,caldo knorr de verdura deshidratado 12 cubos,knorr,1999.0,2670.0,1.0 un
2026-03-29,arroz largo fino 00000 carrefour classic en bolsa 1 kg.,carrefour,1241.08,1349.0,1.0 un
2026-03-29,arroz parboil carrefour classic en bolsa 1 kg.,carrefour,1776.6,1890.0,1.0 un
2026-03-29,harina leudante blancaflor 1 kg.,blancaflor,1949.0,1949.0,1.0 un
2026-03-29,arvejas secas remojadas carrefour classic en lata 300 g.,carrefour,533.11,599.0,1.0 un
2026-03-29,fideos tallarines don vicente en bolsa 500 g.,don vicente,3399.0,3399.0,1.0 un
2026-03-29,fideos tirabuzones n28 matarazzo 500 g.,matarazzo,1849.0,1849.0,1.0 un
2026-03-29,fideos spaghetti n3 matarazzo 500 g.,matarazzo,1849.0,1849.0,1.0 un
2026-03-29,fideos spaghetti n7 lucchetti 500 g.,lucchetti,1439.0,1439.0,1.0 un
2026-03-29,fideos mostacholes n52 lucchetti rayado 500 g.,lucchetti,1499.0,1499.0,1.0 un
2026-03-29,fideos mostacholes n52 matarazzo rayado 500 g.,matarazzo,1849.0,1849.0,1.0 un
2026-03-29,arroz parboil gallo oro en bolsa 1 kg.,gallo,2500.0,2500.0,1.0 un
2026-03-29,mostaza savora oiginal doypack 500 g.,savora,2765.0,2765.0,1.0 un
2026-03-29,arvejas secas remojadas inalpa lata 300 g.,inalpa,659.0,659.0,1.0 un
2026-03-29,caldo de verdura maggi 12 uni,maggi,1729.0,1729.0,1.0 un
2026-03-29,harina de trigo morixe 000 1 kg.,morixe,979.0,979.0,1.0 un
2026-03-29,atún desmenuzado bulnez al natural 170 g.,bulnez,1010.0,1190.0,1.0 un
2026-03-29,fideos coditos lucchetti 500 g.,lucchetti,1499.0,1499.0,1.0 un
2026-03-29,harina de trigo pureza 0000 1 kg.,pureza,1350.0,1350.0,1.0 un
2026-03-29,aceite de girasol cañuelas 1.5 l.,cañuelas,3796.0,5919.0,1.0 un
2026-03-29,vinagre de alcohol menoyo 1 l.,menoyo,1639.0,1639.0,1.0 un
2026-03-29,mayonesa natura 475 g.,natura,2720.0,2720.0,1.0 un
2026-03-29,arroz largo fino molinos ala 1 kg.,molinos ala,1790.0,1790.0,1.0 un
2026-03-29,sal fina celusal paquete 500 g.,celusal,1409.0,1409.0,1.0 un
2026-03-29,harina de trigo 000 caserita x 1 kg,caserita,899.0,899.0,1.0 un
2026-03-29,puré de tomate carrefour classic tetra 520 grs,carrefour,836.07,899.0,1.0 un
2026-03-29,harina leudante chacabuco 1 kg,chacabuco,1479.0,1479.0,1.0 un
2026-03-29,aceitunas verdes descarozadas nucete dp 220 grs,nucete,1949.0,1949.0,1.0 un
2026-03-29,lentejas secas bulnez 400 grs,bulnez,1390.0,1390.0,1.0 un
2026-03-29,fideo tirabuzones bulnez en paquete 500 g.,bulnez,839.0,839.0,1.0 un
2026-03-29,fideo spaghetti bulnez en paquete 500 g.,bulnez,839.0,839.0,1.0 un
2026-03-29,avena instantanea carrefour classic pouch 300 g.,carrefour,1385.7,1490.0,1.0 un
2026-03-29,orégano el mercado 50 g.,el mercado,929.0,929.0,1.0 un
